"","Clover_yellow_mosaic_virus","Hydrangea_ringspot_virus","Plantago_asiatica_mosaic_virus__KU697313","Nandina_mosaic_virus","Plantago_asiatica_mosaic_virus__LC155795","Plantago_asiatica_mosaic_virus__KT717325","Plantago_asiatica_mosaic_virus__KU159093","Senna_mosaic_virus","Babaco_mosaic_virus","Papaya_mosaic_virus","Alternanthera_mosaic_virus__LC107515","Alternanthera_mosaic_virus__MH423501","Alternanthera_mosaic_virus__FJ822136","Alternanthera_mosaic_virus__GQ179646","Alternanthera_mosaic_virus__AY863024","Alternanthera_mosaic_virus__GQ179647","Opuntia_virus__Strain_CC10","Opuntia_virus_X__KY348771","Opuntia_virus_X__KU854931","Schlumbergera_virus_X__KU854929","SRR11190802_Plant__DH-1_NC_011659","Schlumbergera_virus_X__KP090203","Schlumbergera_virus_X__Strain_K11","SRR11190798_Plant__DH-3_NC_011659","SRR11190801_Plant__DH-2_NC_011659","SRR11603189_RR-peel-3_NC_011659","SRR11603187_RR-pulp-2_NC_011659","SRR11603183_GW-peel-2_NC_011659","SRR11603184_GW-peel-1_NC_011659","MG210801","SRR11190800_Plant__BSJ-2_NC_024458","SRR11190791_Plant__BSJ-1_NC_024458","SRR11190799_Plant__BSJ-3_NC_024458","SRR11190802_Plant__DH-1_NC_024458","SRR11190801_Plant__DH-2_NC_024458","SRR11190798_Plant__DH-3_NC_024458","SRR11190795_Plant__FR-3_NC_024458","Pitaya_virus_X","SRR11603182_GW-peel-3_NC_024458","SRR11603184_GW-peel-1_NC_024458","SRR11603183_GW-peel-2_NC_024458","SRR11190793_Plant__BR-2_NC_024458","SRR11190796_Plant__FR-2_NC_024458","SRR11190797_Plant__FR-1_NC_024458","SRR11603191_RR-peel-1_NC_024458","SRR11603189_RR-peel-3_NC_024458","SRR11603187_RR-pulp-2_NC_024458","SRR11603186_RR-pulp-3_NC_024458","SRR11603190_RR-peel-2_NC_024458","KM288845","SRR11190798_Plant__DH-3_NC_006059","SRR11190801_Plant__DH-2_NC_006059","SRR11190802_Plant__DH-1_NC_006059","SRR11190796_Plant__FR-2_NC_006059","SRR11190797_Plant__FR-1_NC_006059","Zygocactus_virus_X__Strain_B1","KM288844","Zygocactus_virus_X__JF930326.1","KM288843","KM288842","SRR11603191_RR-peel-1_NC_006059","SRR11603189_RR-peel-3_NC_006059","SRR11603187_RR-pulp-2_NC_006059","SRR11603186_RR-pulp-3_NC_006059","SRR11603190_RR-peel-2_NC_006059","Cactus_virus_X__JF937699.1","Cactus_virus_X__KM288846.1","Cactus_virus_X__SCM51431","Cactus_virus_X__KM288847.1","Schlumbergera_truncata_15H03__cons","Schlumbergera_truncata_19JSF_sty__NC_002815","Schlumbergera_truncata_15H04__cons","Schlumbergera_truncata_15H06__cons","Cactus_virus_X__LC128411.1","SRR11603186_RR-pulp-3_NC_002815","SRR11603190_RR-peel-2_NC_002815","SRR11603191_RR-peel-1_NC_002815","SRR11603187_RR-pulp-2_NC_002815","SRR11603189_RR-peel-3_NC_002815","SRR11190793_Plant__BR-2_NC_002815","Cactus_virus_X__KM365479.1","SRR11190792_Plant__BR-3_NC_002815","SRR11603183_GW-peel-2_NC_002815","SRR11190795_Plant__FR-3_NC_002815","Cactus_virus_X__AF308158.2","SRR11190802_Plant__DH-1_NC_002815","SRR11190796_Plant__FR-2_NC_002815","SRR11190797_Plant__FR-1_NC_002815","SRR11603184_GW-peel-1_NC_002815","SRR11603182_GW-peel-3_NC_002815","SRR11190798_Plant__DH-3_NC_002815","SRR11190801_Plant__DH-2_NC_002815","SRR11190799_Plant__BSJ-3_NC_002815","SRR11190791_Plant__BSJ-1_NC_002815","SRR11190800_Plant__BSJ-2_NC_002815"
"Clover_yellow_mosaic_virus",0,0.437299035369775,0.418006430868167,0.421221864951768,0.421221864951768,0.421221864951768,0.418006430868167,0.463022508038585,0.463022508038585,0.437299035369775,0.453376205787781,0.446945337620579,0.446945337620579,0.437299035369775,0.453376205787781,0.440514469453376,0.42443729903537,0.42443729903537,0.42443729903537,0.430868167202572,0.418006430868167,0.414790996784566,0.418006430868167,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.440514469453376,0.446945337620579,0.446945337620579,0.446945337620579,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.453376205787781,0.440514469453376,0.440514469453376,0.430868167202572,0.437299035369775,0.437299035369775,0.437299035369775,0.434083601286174,0.443729903536977,0.437299035369775,0.430868167202572,0.427652733118971,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.411575562700965,0.408360128617363,0.411575562700965,0.414790996784566,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.405144694533762,0.411575562700965,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363
"Hydrangea_ringspot_virus",0.437299035369775,0,0.385852090032154,0.395498392282958,0.405144694533762,0.398713826366559,0.401929260450161,0.437299035369775,0.440514469453376,0.395498392282958,0.382636655948553,0.421221864951768,0.421221864951768,0.421221864951768,0.411575562700965,0.418006430868167,0.421221864951768,0.421221864951768,0.421221864951768,0.408360128617363,0.411575562700965,0.408360128617363,0.411575562700965,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.385852090032154,0.398713826366559,0.398713826366559,0.385852090032154,0.392282958199357,0.392282958199357,0.395498392282958,0.398713826366559,0.395498392282958,0.389067524115756,0.392282958199357,0.389067524115756,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.385852090032154,0.385852090032154,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.389067524115756,0.385852090032154,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553,0.382636655948553
"Plantago_asiatica_mosaic_virus__KU697313",0.418006430868167,0.385852090032154,0,0.12540192926045,0.154340836012862,0.128617363344051,0.135048231511254,0.440514469453376,0.453376205787781,0.453376205787781,0.385852090032154,0.418006430868167,0.414790996784566,0.408360128617363,0.414790996784566,0.405144694533762,0.437299035369775,0.440514469453376,0.440514469453376,0.395498392282958,0.408360128617363,0.405144694533762,0.408360128617363,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.392282958199357,0.385852090032154,0.385852090032154,0.385852090032154,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.389067524115756,0.392282958199357,0.37620578778135,0.37620578778135,0.379421221864952,0.382636655948553,0.382636655948553,0.392282958199357,0.382636655948553,0.385852090032154,0.382636655948553,0.385852090032154,0.37620578778135,0.37620578778135,0.37620578778135,0.37620578778135,0.37620578778135,0.389067524115756,0.392282958199357,0.389067524115756,0.392282958199357,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.385852090032154,0.389067524115756,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357
"Nandina_mosaic_virus",0.421221864951768,0.395498392282958,0.12540192926045,0,0.144694533762058,0.154340836012862,0.160771704180064,0.453376205787781,0.453376205787781,0.443729903536977,0.411575562700965,0.434083601286174,0.434083601286174,0.427652733118971,0.434083601286174,0.42443729903537,0.437299035369775,0.440514469453376,0.440514469453376,0.408360128617363,0.427652733118971,0.42443729903537,0.427652733118971,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.401929260450161,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.421221864951768,0.411575562700965,0.411575562700965,0.408360128617363,0.411575562700965,0.411575562700965,0.414790996784566,0.408360128617363,0.414790996784566,0.414790996784566,0.418006430868167,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.405144694533762,0.398713826366559,0.405144694533762,0.42443729903537,0.42443729903537,0.42443729903537,0.427652733118971,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.414790996784566,0.421221864951768,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167
"Plantago_asiatica_mosaic_virus__LC155795",0.421221864951768,0.405144694533762,0.154340836012862,0.144694533762058,0,0.160771704180064,0.154340836012862,0.440514469453376,0.434083601286174,0.430868167202572,0.389067524115756,0.427652733118971,0.430868167202572,0.418006430868167,0.414790996784566,0.414790996784566,0.411575562700965,0.418006430868167,0.418006430868167,0.408360128617363,0.418006430868167,0.414790996784566,0.418006430868167,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.411575562700965,0.405144694533762,0.395498392282958,0.395498392282958,0.395498392282958,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.427652733118971,0.414790996784566,0.414790996784566,0.401929260450161,0.408360128617363,0.408360128617363,0.418006430868167,0.408360128617363,0.414790996784566,0.405144694533762,0.408360128617363,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.401929260450161,0.398713826366559,0.398713826366559,0.401929260450161,0.401929260450161,0.395498392282958,0.395498392282958,0.395498392282958,0.398713826366559,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.398713826366559,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958
"Plantago_asiatica_mosaic_virus__KT717325",0.421221864951768,0.398713826366559,0.128617363344051,0.154340836012862,0.160771704180064,0,0.0128617363344051,0.437299035369775,0.459807073954984,0.453376205787781,0.405144694533762,0.421221864951768,0.421221864951768,0.430868167202572,0.430868167202572,0.427652733118971,0.421221864951768,0.42443729903537,0.42443729903537,0.408360128617363,0.42443729903537,0.414790996784566,0.42443729903537,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.395498392282958,0.389067524115756,0.389067524115756,0.389067524115756,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.418006430868167,0.405144694533762,0.405144694533762,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.411575562700965,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.392282958199357,0.392282958199357,0.392282958199357,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.392282958199357,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.389067524115756,0.392282958199357,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958
"Plantago_asiatica_mosaic_virus__KU159093",0.418006430868167,0.401929260450161,0.135048231511254,0.160771704180064,0.154340836012862,0.0128617363344051,0,0.437299035369775,0.45016077170418,0.459807073954984,0.401929260450161,0.427652733118971,0.427652733118971,0.437299035369775,0.437299035369775,0.434083601286174,0.418006430868167,0.421221864951768,0.421221864951768,0.418006430868167,0.427652733118971,0.418006430868167,0.427652733118971,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.421221864951768,0.395498392282958,0.389067524115756,0.389067524115756,0.389067524115756,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.418006430868167,0.401929260450161,0.401929260450161,0.405144694533762,0.405144694533762,0.405144694533762,0.411575562700965,0.405144694533762,0.408360128617363,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.408360128617363,0.398713826366559,0.398713826366559,0.398713826366559,0.395498392282958,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.392282958199357,0.395498392282958,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559
"Senna_mosaic_virus",0.463022508038585,0.437299035369775,0.440514469453376,0.453376205787781,0.440514469453376,0.437299035369775,0.437299035369775,0,0.385852090032154,0.392282958199357,0.398713826366559,0.389067524115756,0.389067524115756,0.392282958199357,0.398713826366559,0.389067524115756,0.440514469453376,0.446945337620579,0.446945337620579,0.421221864951768,0.418006430868167,0.421221864951768,0.418006430868167,0.42443729903537,0.42443729903537,0.42443729903537,0.42443729903537,0.42443729903537,0.42443729903537,0.430868167202572,0.437299035369775,0.437299035369775,0.437299035369775,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.427652733118971,0.430868167202572,0.434083601286174,0.434083601286174,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.440514469453376,0.437299035369775,0.443729903536977,0.437299035369775,0.437299035369775,0.437299035369775,0.437299035369775,0.437299035369775,0.414790996784566,0.418006430868167,0.418006430868167,0.418006430868167,0.398713826366559,0.398713826366559,0.398713826366559,0.398713826366559,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.411575562700965,0.401929260450161,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762,0.405144694533762
"Babaco_mosaic_virus",0.463022508038585,0.440514469453376,0.453376205787781,0.453376205787781,0.434083601286174,0.459807073954984,0.45016077170418,0.385852090032154,0,0.366559485530547,0.356913183279743,0.347266881028939,0.340836012861736,0.337620578778135,0.331189710610932,0.334405144694534,0.430868167202572,0.440514469453376,0.440514469453376,0.408360128617363,0.437299035369775,0.427652733118971,0.437299035369775,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.411575562700965,0.42443729903537,0.42443729903537,0.42443729903537,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.414790996784566,0.405144694533762,0.418006430868167,0.418006430868167,0.408360128617363,0.414790996784566,0.414790996784566,0.411575562700965,0.411575562700965,0.421221864951768,0.414790996784566,0.414790996784566,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.408360128617363,0.414790996784566,0.414790996784566,0.414790996784566,0.418006430868167,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.395498392282958,0.395498392282958,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357,0.392282958199357
"Papaya_mosaic_virus",0.437299035369775,0.395498392282958,0.453376205787781,0.443729903536977,0.430868167202572,0.453376205787781,0.459807073954984,0.392282958199357,0.366559485530547,0,0.37620578778135,0.379421221864952,0.37620578778135,0.372990353697749,0.379421221864952,0.369774919614148,0.440514469453376,0.443729903536977,0.443729903536977,0.42443729903537,0.430868167202572,0.427652733118971,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.418006430868167,0.421221864951768,0.421221864951768,0.421221864951768,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.418006430868167,0.42443729903537,0.434083601286174,0.434083601286174,0.430868167202572,0.430868167202572,0.430868167202572,0.421221864951768,0.430868167202572,0.430868167202572,0.430868167202572,0.430868167202572,0.427652733118971,0.42443729903537,0.42443729903537,0.42443729903537,0.42443729903537,0.408360128617363,0.408360128617363,0.408360128617363,0.411575562700965,0.408360128617363,0.408360128617363,0.408360128617363,0.411575562700965,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.398713826366559,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958,0.395498392282958
